what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342671555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342787509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342792323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342797454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342817921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342839642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351342865840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351342889658
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1351342914551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351342914595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342917554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342922223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342934190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351342951397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351342997968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351342999531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1351343003110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1351343004911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343005666
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343013324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343032891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343068433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343073097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351343082536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351343803747
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351343811347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1351343822528
