what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1351359068681
java.vm.vendor,sysinfo,,,"Apple Inc.",1351359068681
java.vm.version,sysinfo,,,"20.8-b03-424",1351359068681
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1351359068687
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1351359069072
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1351359069116
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1351359069204
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1351359069206
error,log,,,"DDMS files not found: /Applications/Eclipse/Eclipse.app/Contents/MacOS/platform-tools/adb /Applications/Eclipse/Eclipse.app/Contents/MacOS/tools/hprof-conv /Applications/Eclipse/Eclipse.app/Contents/MacOS/tools/traceview ",1351359069215
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1351359069249
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1351359069252
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1351359069259
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1351359069265
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1351359072804
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1351359076738
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1351359076738
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1351359076738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359076906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359097318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359099306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359101223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359102899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359114663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351359115995
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1351359117425
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1351359117527
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1351359128693
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1351359128699
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20110510,"org.eclipse.equinox.p2.transport.ecf",1351359129049
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1351359129098
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1351359129117
