what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350692578755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692592496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692597554
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350692597617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692598690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692636093
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350692638020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692657595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692685640
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350692690940
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350692707850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692721647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692730174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1350692730249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692733724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692780265
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350692795687
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350692797618
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350692810861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692953114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692954937
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350692955446
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1350692956618
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1350692956638
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1350692956647
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1350692956692
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1350692956694
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1350692956696
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1350692956696
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350692956696
